Datum ;Zeit ;AT [ýC];ATakt [ýC];KT Ist [ýC];KT Soll [ýC];BR ;Sperrzeit ;PE1_BR1 ;HK1 VL Ist[ýC];HK1 VL Soll[ýC];HK1 RT Ist[ýC];HK1 RT Soll[ýC];HK1 Pumpe;HK1 Mischer;HK1 Fernb[ýC];HK1 Status;HK2 VL Ist[ýC];HK2 VL Soll[ýC];HK2 RT Ist[ýC];HK2 RT Soll[ýC];HK2 Pumpe;HK2 Mischer;HK2 Fernb[ýC];HK2 Status;WW1 EinT Ist[ýC];WW1 AusT Ist[ýC];WW1 Soll[ýC];WW1 Pumpe;WW1 Status;Zubrp1 Pumpe;PE1 KT[ýC];PE1 KT_SOLL[ýC];PE1 UW Freigabe[ýC];PE1 Modulation[%];PE1 FRT Ist[ýC];PE1 FRT Soll[ýC];PE1 FRT End[ýC];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Fuellstand[kg];PE1 Fuellstand ZWB[kg];PE1 Status;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;Fehler1 ;Fehler2 ;Fehler3 ;
26.05.2023;00:03:24;14.9;14.6;36.3;8.0;0;0;0;30.0;8.0;20.6;8.0;0;0;0.0;8;24.7;8.0;21.3;8.0;0;0;0.0;8;33.7;33.7;25.0;0;8200;0;36.3;8.0;35.0;0;39.2;8.0;8.0;0.00;0.00;0;0;49.1;81.0;732;21;99;0;0;0;0;0;0;0;0;0;0;0;0;1;0;217;1;0;0;0;0;
26.05.2023;00:04:24;14.8;14.6;36.3;8.0;0;0;0;30.0;8.0;20.6;8.0;0;0;0.0;8;24.7;8.0;21.3;8.0;0;0;0.0;8;33.7;33.7;25.0;0;8200;0;36.3;8.0;35.0;0;39.2;8.0;8.0;0.00;0.00;0;0;49.1;81.0;732;21;99;0;0;0;0;0;0;0;0;0;0;0;0;1;0;217;1;0;0;0;0;
26.05.2023;00:05:24;14.8;14.5;36.3;8.0;0;0;0;29.9;8.0;20.6;8.0;0;0;0.0;8;24.6;8.0;21.3;8.0;0;0;0.0;8;33.7;33.7;25.0;0;8200;0;36.3;8.0;35.0;0;39.2;8.0;8.0;0.00;0.00;0;0;49.1;81.0;732;21;99;0;0;0;0;0;0;0;0;0;0;0;0;1;0;217;1;0;0;0;0;
26.05.2023;00:06:24;14.8;14.5;36.3;8.0;0;0;0;29.9;8.0;20.6;8.0;0;0;0.0;8;24.6;8.0;21.3;8.0;0;0;0.0;8;33.7;33.7;25.0;0;8200;0;36.3;8.0;35.0;0;39.1;8.0;8.0;0.00;0.00;0;0;49.1;81.0;732;21;99;0;0;0;0;0;0;0;0;0;0;0;0;1;0;217;1;0;0;0;0;
26.05.2023;00:07:24;14.8;14.5;36.3;8.0;0;0;0;29.9;8.0;20.6;8.0;0;0;0.0;8;24.6;8.0;21.3;8.0;0;0;0.0;8;33.7;33.7;25.0;0;8200;0;36.3;8.0;35.0;0;39.2;8.0;8.0;0.00;0.00;0;0;49.1;81.0;732;21;99;0;0;0;0;0;0;0;0;0;0;0;0;1;0;217;1;0;0;0;0;
26.05.2023;00:08:24;14.8;14.5;36.3;8.0;0;0;0;29.9;8.0;20.6;8.0;0;0;0.0;8;24.6;8.0;21.3;8.0;0;0;0.0;8;33.7;33.7;25.0;0;8200;0;36.3;8.0;35.0;0;39.1;8.0;8.0;0.00;0.00;0;0;49.1;81.0;732;21;99;0;0;0;0;0;0;0;0;0;0;0;0;1;0;217;1;0;0;0;0;
26.05.2023;00:09:24;14.8;14.5;36.2;8.0;0;0;0;29.9;8.0;20.6;8.0;0;0;0.0;8;24.6;8.0;21.3;8.0;0;0;0.0;8;33.7;33.7;25.0;0;8200;0;36.2;8.0;35.0;0;39.1;8.0;8.0;0.00;0.00;0;0;49.1;81.0;732;21;99;0;0;0;0;0;0;0;0;0;0;0;0;1;0;217;1;0;0;0;0;
26.05.2023;00:10:24;14.8;14.5;36.2;8.0;0;0;0;29.9;8.0;20.6;8.0;0;0;0.0;8;24.6;8.0;21.3;8.0;0;0;0.0;8;33.7;33.7;25.0;0;8200;0;36.2;8.0;35.0;0;39.1;8.0;8.0;0.00;0.00;0;0;49.1;81.0;732;21;99;0;0;0;0;0;0;0;0;0;0;0;0;1;0;217;1;0;0;0;0;
26.05.2023;00:11:24;14.7;14.5;36.2;8.0;0;0;0;29.9;8.0;20.6;8.0;0;0;0.0;8;24.6;8.0;21.3;8.0;0;0;0.0;8;33.7;33.7;25.0;0;8200;0;36.2;8.0;35.0;0;39.1;8.0;8.0;0.00;0.00;0;0;49.1;81.0;732;21;99;0;0;0;0;0;0;0;0;0;0;0;0;1;0;217;1;0;0;0;0;
26.05.2023;00:12:24;14.7;14.5;36.2;8.0;0;0;0;29.9;8.0;20.6;8.0;0;0;0.0;8;24.6;8.0;21.3;8.0;0;0;0.0;8;33.7;33.7;25.0;0;8200;0;36.2;8.0;35.0;0;39.1;8.0;8.0;0.00;0.00;0;0;49.1;81.0;732;21;99;0;0;0;0;0;0;0;0;0;0;0;0;1;0;217;1;0;0;0;0;
